Date,App,Ad_Group,State,Revenue,Ad_Requests,Ad_Responses,Fill_Rate,Impressions,Render_Rate,1st_Clicks,2nd_Clicks
09-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3501482,23,100,19,82.61,0,0
09-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3501482,1,100,1,100,0,0
09-09-2020,Callbreak Multiplayer,Satishsolo_Eng,Uttar Pradesh,0,3501482,1,100,1,100,0,0
09-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3501482,3,100,3,100,0,0
09-09-2020,Callbreak Multiplayer,Quirky_Eng,Uttar Pradesh,0,3501482,1,100,1,100,0,0
09-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3501482,2,100,2,100,0,0
09-09-2020,Callbreak Multiplayer,DanishSolo_English,Uttar Pradesh,0,3501482,3,100,2,66.7,0,0
09-09-2020,Callbreak Multiplayer,Danishsolo_Kan,Uttar Pradesh,0,3501482,2,100,2,100,0,0
09-09-2020,Callbreak Multiplayer,Malayalm_KL,Uttar Pradesh,0,3501482,2,100,2,100,0,0
09-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3501482,1,100,1,100,0,0
09-09-2020,Callbreak Multiplayer,quirky_Eng,Uttar Pradesh,0,3501482,2,100,2,100,0,0
09-09-2020,Callbreak Multiplayer,Ajusolo_Eng,Uttar Pradesh,0,3501482,3,100,3,100,0,0
09-09-2020,Callbreak Multiplayer,Ajusolo_Mal,Uttar Pradesh,0,3501482,5,100,3,60,0,0
09-09-2020,Callbreak Multiplayer,RC_GJ_Stock,Uttar Pradesh,0,3501482,3,100,3,100,0,0
09-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3501482,5,100,3,60,0,0
07-09-2020,Callbreak Multiplayer,Rummy77,Uttar Pradesh,0,3497304,37501,100,34626,92.3,208,49
07-09-2020,Callbreak Multiplayer,New creative,Uttar Pradesh,0,3497304,37272,100,34447,92.4,243,66
07-09-2020,Callbreak Multiplayer,creative_aug,Uttar Pradesh,0,3497304,37340,100,34509,92.4,202,37
07-09-2020,Callbreak Multiplayer,Nov New,Uttar Pradesh,0.66,3497304,37430,100,34448,92,191,57
07-09-2020,Callbreak Multiplayer,revshare,Uttar Pradesh,0,3497304,10,100,9,90,0,0
07-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,0.96,3497304,267122,100,243697,91.2,1927,1920
07-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Uttar Pradesh,0,3497304,33,100,17,51.5,0,0
07-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,1.59,3497304,21010,100,16895,80.41,380,129
07-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,5.49,3497304,2083739,100,1938189,93,11857,3121
07-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,1.84,3497304,487205,100,413842,84.94,6952,2092
07-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,1.32,3497304,488255,100,423336,86.7,7422,2501
07-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3497304,21,100,17,80.95,0,0
07-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3497304,53,100,47,88.68,2,0
07-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3497304,57,100,46,80.7,1,0
07-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3497304,51,100,41,80.39,8,2
07-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3497304,45,100,35,77.78,1,0
07-09-2020,Callbreak Multiplayer,RC_KA_Stock_English,Uttar Pradesh,0,3497304,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3497304,1,100,0,0,0,0
07-09-2020,Callbreak Multiplayer,Danish&satish,Uttar Pradesh,0,3497304,1,100,0,0,0,0
07-09-2020,Callbreak Multiplayer,DanishSolo_English,Uttar Pradesh,0,3497304,2,100,2,100,0,0
07-09-2020,Callbreak Multiplayer,Danishsolo_Kan,Uttar Pradesh,0,3497304,1,100,0,0,0,0
07-09-2020,Callbreak Multiplayer,RC_KL_Stock_ENG,Uttar Pradesh,0,3497304,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,quirky_Eng,Uttar Pradesh,0,3497304,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,Ajusolo_Eng,Uttar Pradesh,0,3497304,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,Ajusolo_Mal,Uttar Pradesh,0,3497304,2,100,2,100,1,1
07-09-2020,Callbreak Multiplayer,RC_GJ_Stock,Uttar Pradesh,0,3497304,7,100,3,42.9,0,0
07-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3497304,18,100,14,77.78,0,0
06-09-2020,Callbreak Multiplayer,Rummy77,Bihar,0,2390382,161107,100,149736,92.9,1137,292
06-09-2020,Callbreak Multiplayer,New creative,Bihar,0.66,2390382,161554,100,150055,92.9,1130,257
06-09-2020,Callbreak Multiplayer,creative_aug,Bihar,0.66,2390382,161581,100,149622,92.6,1159,271
06-09-2020,Callbreak Multiplayer,Nov New,Bihar,0,2390382,161275,100,149082,92.4,1077,232
06-09-2020,Callbreak Multiplayer,revshare,Bihar,0,2390382,5,100,3,60,0,0
06-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Bihar,0.36,2390382,121926,100,114064,93.6,725,720
06-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Bihar,1.37,2390382,18363,100,14623,79.63,490,164
06-09-2020,Callbreak Multiplayer,Dream11_NonCore,Bihar,3.05,2390382,932722,100,861378,92.4,5916,1513
06-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Bihar,0.92,2390382,335695,100,294862,87.84,7277,2288
06-09-2020,Callbreak Multiplayer,IPL banner,Bihar,1.32,2390382,336090,100,289902,86.26,6210,2094
06-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Bihar,0,2390382,3,100,3,100,0,0
06-09-2020,Callbreak Multiplayer,RC_MH_English,Bihar,0,2390382,1,100,0,0,0,0
06-09-2020,Callbreak Multiplayer,non stop fun,Bihar,0,2390382,6,100,4,66.7,0,0
06-09-2020,Callbreak Multiplayer,logo with name,Bihar,0,2390382,3,100,3,100,0,0
06-09-2020,Callbreak Multiplayer,RC_TN_ENG,Bihar,0,2390382,2,100,2,100,0,0
06-09-2020,Callbreak Multiplayer,Quirky_Eng,Bihar,0,2390382,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,RC_KA_Stock_English,Bihar,0,2390382,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,RC_KL_Stock_ENG,Bihar,0,2390382,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,Ajusolo_Eng,Bihar,0,2390382,1,100,1,100,0,0
06-09-2020,Callbreak Multiplayer,Gujrati_GL,Bihar,0,2390382,3,100,2,66.7,0,0
07-09-2020,Callbreak Multiplayer,Rummy77,Bihar,0,2346426,25873,100,24069,93,184,45
07-09-2020,Callbreak Multiplayer,New creative,Bihar,0,2346426,25841,100,23999,92.9,176,36
07-09-2020,Callbreak Multiplayer,creative_aug,Bihar,0,2346426,25899,100,24099,93,195,57
07-09-2020,Callbreak Multiplayer,Nov New,Bihar,0,2346426,25775,100,23934,92.9,187,39
07-09-2020,Callbreak Multiplayer,revshare,Bihar,0,2346426,9,100,5,55.6,0,0
07-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Bihar,0.74,2346426,190521,100,174310,91.5,1498,1477
07-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Bihar,0,2346426,20,100,7,35,0,0
07-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Bihar,1.51,2346426,19720,100,16130,81.8,464,152
07-09-2020,Callbreak Multiplayer,Dream11_NonCore,Bihar,4.88,2346426,1346296,100,1250173,92.9,8578,2319
07-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Bihar,2.76,2346426,342926,100,292149,85.19,6058,1973
07-09-2020,Callbreak Multiplayer,IPL banner,Bihar,1.32,2346426,343377,100,298149,86.83,6429,2176
07-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Bihar,0,2346426,11,100,5,45.5,0,0
07-09-2020,Callbreak Multiplayer,RC_MH_English,Bihar,0,2346426,9,100,6,66.7,0,0
07-09-2020,Callbreak Multiplayer,non stop fun,Bihar,0,2346426,9,100,6,66.7,0,0
07-09-2020,Callbreak Multiplayer,Logo without name,Bihar,0,2346426,5,100,3,60,0,0
07-09-2020,Callbreak Multiplayer,logo with name,Bihar,0,2346426,7,100,4,57.1,0,0
07-09-2020,Callbreak Multiplayer,RC_TN_ENG,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,Quirky_Eng,Bihar,0,2346426,2,100,2,100,0,0
07-09-2020,Callbreak Multiplayer,RC_KA_Stock_English,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,non stop fun,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,Quirky_Eng,Bihar,0,2346426,2,100,2,100,0,0
07-09-2020,Callbreak Multiplayer,Danish&satish,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,DanishSolo_English,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,non stop fun,Bihar,0,2346426,2,100,1,50,0,0
07-09-2020,Callbreak Multiplayer,Ajusolo_Mal,Bihar,0,2346426,1,100,1,100,0,0
07-09-2020,Callbreak Multiplayer,RC_GJ_Stock,Bihar,0,2346426,2,100,2,100,0,0
07-09-2020,Callbreak Multiplayer,Gujrati_GL,Bihar,0,2346426,4,100,4,100,0,0
06-09-2020,Callbreak Multiplayer,Rummy77,Rajasthan,0,2225525,145010,100,135894,93.7,881,239
06-09-2020,Callbreak Multiplayer,New creative,Rajasthan,0,2225525,145494,100,136238,93.6,806,178
06-09-2020,Callbreak Multiplayer,creative_aug,Rajasthan,0.66,2225525,145354,100,135858,93.5,793,189
06-09-2020,Callbreak Multiplayer,Nov New,Rajasthan,0,2225525,145585,100,135824,93.3,843,193
06-09-2020,Callbreak Multiplayer,revshare,Rajasthan,0,2225525,6,100,5,83.33,0,0
06-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Rajasthan,0.3,2225525,114698,100,108259,94.4,607,602
06-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Rajasthan,0,2225525,2,100,0,0,0,0
06-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Rajasthan,0.89,2225525,11533,100,9448,81.92,246,74
